strike	2021-09-02	2021-09-03	2021-09-07	2021-09-08	2021-09-09	2021-09-10	2021-09-13	2021-09-14	2021-09-15	2021-09-16
9000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9100	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9200	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9300	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9400	0.02	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9500	0.03	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9525	0.03	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9550	0.03	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9575	0.04	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9600	0.04	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9625	0.04	0.03	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9650	0.05	0.03	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00
9675	0.05	0.03	0.01	0.00	0.00	0.02	0.00	0.00	0.00	0.00
9700	0.06	0.03	0.01	0.00	0.00	0.02	0.00	0.00	0.00	0.00
9725	0.06	0.04	0.01	0.00	0.00	0.02	0.00	0.00	0.00	0.00
9750	0.07	0.00	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.00
9775	0.07	0.04	0.02	0.00	0.00	0.02	0.00	0.00	0.00	0.00
9800	0.08	0.05	0.02	0.00	0.00	0.03	0.00	0.00	0.00	0.00
9825	0.09	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9850	0.09	0.00	0.02	0.00	0.00	0.03	0.00	0.00	0.00	0.00
9875	0.10	0.06	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9900	0.11	0.00	0.03	0.00	0.00	0.04	0.00	0.00	0.00	0.00
9925	0.12	0.07	0.03	0.00	0.00	0.04	0.00	0.00	0.00	0.00
9950	0.13	0.08	0.03	0.00	0.00	0.04	0.00	0.00	0.00	0.00
9975	0.14	0.08	0.04	0.00	0.00	0.05	0.00	0.00	0.00	0.00
10000	0.15	0.09	0.04	0.00	0.00	0.05	0.00	0.00	0.00	0.00
10025	0.16	0.00	0.04	0.00	0.00	0.06	0.00	0.00	0.00	0.00
10050	0.17	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10075	0.18	0.12	0.05	0.00	0.00	0.07	0.00	0.00	0.00	0.00
10100	0.20	0.13	0.06	0.00	0.00	0.07	0.00	0.00	0.00	0.00
10125	0.21	0.14	0.06	0.00	0.00	0.08	0.00	0.00	0.00	0.00
10150	0.23	0.15	0.07	0.00	0.00	0.09	0.00	0.00	0.00	0.00
10175	0.25	0.16	0.07	0.01	0.00	0.09	0.00	0.00	0.00	0.00
10200	0.26	0.17	0.08	0.01	0.00	0.10	0.00	0.00	0.00	0.00
10225	0.28	0.18	0.08	0.01	0.01	0.11	0.00	0.00	0.00	0.00
10250	0.30	0.20	0.09	0.01	0.01	0.12	0.00	0.00	0.00	0.00
10275	0.33	0.21	0.10	0.01	0.01	0.13	0.00	0.00	0.00	0.00
10300	0.35	0.23	0.11	0.01	0.01	0.14	0.00	0.00	0.00	0.00
10325	0.37	0.24	0.12	0.01	0.01	0.15	0.00	0.00	0.00	0.00
10350	0.40	0.26	0.13	0.01	0.01	0.16	0.00	0.00	0.00	0.00
10375	0.42	0.28	0.14	0.01	0.01	0.18	0.00	0.00	0.00	0.00
10400	0.45	0.30	0.15	0.01	0.01	0.19	0.00	0.00	0.00	0.00
10425	0.47	0.33	0.16	0.01	0.01	0.21	0.00	0.00	0.00	0.00
10450	0.50	0.35	0.17	0.02	0.01	0.22	0.00	0.00	0.00	0.00
10475	0.52	0.37	0.19	0.02	0.02	0.24	0.00	0.00	0.00	0.00
10500	0.55	0.40	0.20	0.02	0.02	0.26	0.00	0.00	0.00	0.00
10525	0.57	0.42	0.22	0.02	0.02	0.00	0.00	0.00	0.00	0.00
10550	0.60	0.45	0.23	0.02	0.02	0.30	0.00	0.00	0.00	0.00
10575	0.62	0.47	0.25	0.03	0.02	0.00	0.00	0.00	0.00	0.00
10600	0.65	0.50	0.27	0.03	0.03	0.35	0.00	0.00	0.00	0.00
10625	0.67	0.52	0.29	0.03	0.03	0.38	0.00	0.00	0.00	0.00
10650	0.70	0.55	0.31	0.04	0.03	0.00	0.00	0.00	0.00	0.00
10675	0.72	0.57	0.34	0.04	0.03	0.43	0.00	0.00	0.00	0.00
10700	0.75	0.60	0.36	0.04	0.04	0.00	0.00	0.00	0.00	0.00
10725	0.77	0.62	0.39	0.05	0.04	0.48	0.00	0.00	0.00	0.00
10750	0.80	0.65	0.41	0.05	0.05	1.00	0.00	0.00	0.00	0.00
10775	0.82	0.67	0.44	0.06	0.05	1.00	0.00	0.00	0.00	0.00
10800	0.85	0.70	0.46	0.06	0.06	0.55	0.00	0.00	0.00	0.00
10825	0.87	1.00	0.49	0.07	0.06	0.58	0.00	0.00	0.00	0.00
10850	0.90	0.75	0.51	0.08	0.07	0.60	0.00	0.00	0.00	0.00
10875	0.92	1.00	0.54	0.08	0.07	0.63	0.00	0.00	0.00	0.00
10900	0.95	0.80	0.57	0.09	0.08	0.65	0.00	0.00	0.00	0.00
10925	0.97	0.82	0.59	0.10	0.09	1.00	0.00	0.00	0.00	0.00
10950	1.00	1.00	0.62	0.11	0.10	0.70	0.00	0.00	0.00	0.00
10975	1.02	1.00	0.64	0.12	0.10	0.73	0.00	0.00	0.00	0.00
11000	1.05	1.00	0.67	0.13	0.11	0.75	0.00	0.00	0.00	0.00
11025	1.07	0.92	0.69	0.14	0.12	1.00	0.00	0.00	0.00	0.00
11050	1.10	0.95	0.72	0.15	0.14	0.80	0.00	0.00	0.00	0.00
11075	1.12	0.97	0.74	0.17	0.15	1.00	0.00	0.00	0.00	0.00
11100	1.15	1.00	0.77	0.18	0.16	0.85	0.00	0.00	0.00	0.00
11125	1.17	1.02	0.79	0.20	0.18	1.00	0.00	0.00	0.00	0.00
11150	1.20	1.05	0.82	0.21	0.19	0.90	0.00	0.00	0.00	0.00
11175	1.22	1.00	0.84	0.23	0.21	0.93	0.00	0.00	0.00	0.00
11200	1.25	1.10	0.87	0.25	0.23	1.00	0.00	0.00	0.00	0.00
11225	1.27	1.12	0.90	0.27	0.25	0.98	0.00	0.00	0.00	0.00
11250	1.30	1.15	0.92	0.29	0.27	1.00	0.00	0.00	0.00	0.00
11275	1.33	1.17	0.95	0.32	0.29	1.03	0.00	0.00	0.00	0.00
11300	1.35	1.00	0.97	0.34	0.31	1.00	0.01	0.00	0.00	0.00
11325	1.38	1.22	1.00	0.37	0.34	1.08	0.01	0.00	0.00	0.00
11350	1.40	1.25	1.02	0.39	0.37	1.10	0.01	0.00	0.00	0.00
11375	1.43	1.28	1.05	0.42	0.40	1.00	0.01	0.01	0.00	0.00
11400	1.46	1.30	1.07	0.45	0.43	1.15	0.01	0.01	0.00	0.00
11425	1.48	1.33	1.10	0.47	0.47	1.18	0.01	0.01	0.00	0.00
11450	1.51	1.35	1.12	0.50	0.50	1.20	0.01	0.01	0.00	0.00
11475	1.55	1.38	1.15	0.52	0.54	1.23	0.01	0.01	0.00	0.00
11500	1.59	1.41	1.18	0.55	0.58	1.25	0.02	0.01	0.00	0.00
11525	1.62	1.43	1.20	0.57	0.62	1.28	0.02	0.01	0.00	0.00
11550	1.67	1.46	1.23	0.60	0.66	1.30	0.02	0.01	0.00	0.00
11575	1.71	1.49	1.26	0.63	0.70	1.34	0.02	0.01	0.00	0.00
11600	1.76	1.51	1.28	0.65	0.74	1.38	0.02	0.02	0.00	0.00
11625	1.80	1.55	1.31	0.68	0.78	1.42	0.03	0.02	0.00	0.00
11650	1.85	1.58	1.34	0.70	0.82	1.46	0.03	0.02	0.00	0.00
11675	1.89	1.62	1.36	0.73	0.86	1.50	0.04	0.02	0.00	0.00
11700	1.94	1.65	1.40	0.75	0.90	1.54	0.04	0.03	0.00	0.00
11725	1.98	1.69	1.43	0.78	0.94	1.59	0.04	0.03	0.00	0.00
11750	2.03	1.72	1.46	0.81	0.97	1.63	0.05	0.03	0.00	0.00
11775	2.07	1.76	1.49	0.83	1.01	1.67	0.06	0.04	0.00	0.00
11800	2.12	1.80	1.52	0.86	1.05	1.71	0.06	0.04	0.00	0.00
